epoche	train err	probe err	elapsed time
393	0.563038	1.200736	0.268098
394	0.563034	1.200698	0.267424
395	0.563030	1.200661	0.267559
396	0.563027	1.200624	0.278657
397	0.563023	1.200587	0.267986
398	0.563020	1.200550	0.267411
399	0.563016	1.200513	0.278891
400	0.563012	1.200476	0.273114
401	0.563009	1.200439	0.267911
402	0.563005	1.200402	0.267261
403	0.563002	1.200365	0.281760
404	0.562998	1.200328	0.270749
405	0.562995	1.200292	0.270892
406	0.562991	1.200255	0.269852
407	0.562988	1.200218	0.283875
408	0.562985	1.200182	0.267879
409	0.562981	1.200145	0.267797
410	0.562978	1.200108	0.276563
411	0.562974	1.200072	0.272346
412	0.562971	1.200035	0.268156
413	0.562968	1.199999	0.268037
414	0.562964	1.199962	0.287509
415	0.562961	1.199926	0.275049
416	0.562958	1.199890	0.270288
417	0.562954	1.199853	0.270921
418	0.562951	1.199817	0.275774
419	0.562948	1.199781	0.267398
420	0.562945	1.199745	0.268355
421	0.562941	1.199708	0.280106
422	0.562938	1.199672	0.271479
423	0.562935	1.199636	0.273217
424	0.562932	1.199600	0.268143
425	0.562928	1.199564	0.286620
426	0.562925	1.199528	0.267525
427	0.562922	1.199492	0.267459
428	0.562919	1.199456	0.266886
429	0.562916	1.199420	0.283520
430	0.562913	1.199385	0.268912
431	0.562910	1.199349	0.274486
432	0.562906	1.199313	0.284067
433	0.562903	1.199277	0.270727
434	0.562900	1.199242	0.267897
435	0.562897	1.199206	0.269488
436	0.562894	1.199171	0.288101
437	0.562891	1.199135	0.268997
438	0.562888	1.199100	0.268935
439	0.562885	1.199064	0.268337
440	0.562882	1.199029	0.280876
441	0.562879	1.198993	0.270130
442	0.562876	1.198958	0.270447
443	0.562873	1.198923	0.286593
444	0.562870	1.198887	0.270594
445	0.562867	1.198852	0.270419
446	0.562864	1.198817	0.269541
447	0.562861	1.198782	0.294362
448	0.562858	1.198747	0.269220
449	0.562855	1.198711	0.270439
450	0.562852	1.198676	0.268295
451	0.562849	1.198641	0.284934
452	0.562847	1.198606	0.267832
453	0.562844	1.198571	0.267478
454	0.562841	1.198537	0.278643
455	0.562838	1.198502	0.269964
456	0.562835	1.198467	0.270210
457	0.562832	1.198432	0.267222
458	0.562829	1.198397	0.294537
459	0.562827	1.198363	0.268927
460	0.562824	1.198328	0.268409
461	0.562821	1.198293	0.267473
462	0.562818	1.198259	0.279133
463	0.562815	1.198224	0.267677
464	0.562813	1.198190	0.267144
465	0.562810	1.198155	0.281810
466	0.562807	1.198121	0.267701
467	0.562804	1.198086	0.267216
468	0.562802	1.198052	0.267220
469	0.562799	1.198018	0.284437
470	0.562796	1.197983	0.267497
471	0.562794	1.197949	0.267554
472	0.562791	1.197915	0.267004
473	0.562788	1.197881	0.282536
474	0.562786	1.197846	0.269315
475	0.562783	1.197812	0.269206
476	0.562780	1.197778	0.281690
477	0.562778	1.197744	0.268681
478	0.562775	1.197710	0.268249
479	0.562772	1.197676	0.267810
480	0.562770	1.197642	0.284258
481	0.562767	1.197608	0.268778
482	0.562765	1.197574	0.268657
483	0.562762	1.197541	0.269880
484	0.562759	1.197507	0.279093
485	0.562757	1.197473	0.270040
486	0.562754	1.197439	0.272579
487	0.562752	1.197406	0.278973
488	0.562749	1.197372	0.271202
489	0.562747	1.197338	0.268868
490	0.562744	1.197305	0.267174
491	0.562742	1.197271	0.298217
492	0.562739	1.197238	0.270730
493	0.562737	1.197204	0.270696
494	0.562734	1.197171	0.269712
495	0.562732	1.197137	0.282436
496	0.562729	1.197104	0.282491
497	0.562727	1.197071	0.311610
498	0.562724	1.197037	0.295776
499	0.562722	1.197004	0.268698
500	0.562719	1.196971	0.268162
501	0.562717	1.196938	0.268493
502	0.562714	1.196904	0.292858
503	0.562712	1.196871	0.270653
